Name;iupac;iupac-common name;omega;delta;InChI;SMILES;[kJ /mol ];[C ];
OOP ;3-(hexadecanoyloxy)propane-1,2-diyl di(Z)-Octadec-9-enate;3-(palmitoyloxy)propane-1,2-diyl dioleate;1(18:1,w-9)-2(18:1,w-9)-3(16:0);1(18:1 D9)-2(18:1 D9)-3(16:0);InChI=1S/C55H102O6/c1-4-7-10-13-16-19-22-25-27-30-33-36-39-42-45-48-54(57)60-51-52(50-59-53(56)47-44-41-38-35-32-29-24-21-18-15-12-9-6-3)61-55(58)49-46-43-40-37-34-31-28-26-23-20-17-14-11-8-5-2/h25-28,52H,4-24,29-51H2,1-3H3/b27-25-,28-26-;O=C(CCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC;;18.5;0
OOS ;3-(octadecanoyloxy)propane-1,2-diyl di(Z)-Octadec-9-enate;3-(stearoyloxy)propane-1,2-diyl dioleate;1(18:1,w-9)-2(18:1,w-9)-3(18:0);1(18:1 D9)-2(18:1 D9)-3(18:0);InChI=1S/C57H106O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-55(58)61-52-54(63-57(60)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)53-62-56(59)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h25,27-28,30,54H,4-24,26,29,31-53H2,1-3H3/b28-25-,30-27-;O=C(CCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC;;23.5;0
OPO ;2-(hexadecanoyloxy)propane-1,3-diyl di(Z)-Octadec-9-enate;2-(palmitoyloxy)propane-1,3-diyl dioleate;1(18:1,w-9)-2(16:0)-3(18:1,w-9);1(18:1 D9)-2(16:0)-3(18:1 D9);InChI=1S/C55H102O6/c1-4-7-10-13-16-19-22-25-27-30-32-35-38-41-44-47-53(56)59-50-52(61-55(58)49-46-43-40-37-34-29-24-21-18-15-12-9-6-3)51-60-54(57)48-45-42-39-36-33-31-28-26-23-20-17-14-11-8-5-2/h25-28,52H,4-24,29-51H2,1-3H3/b27-25-,28-26-;O=C(CCCCCCC/C=C\CCCCCCCC)OCC(COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCCCCCCCC;111;19.6;0
OPO (g );2-(hexadecanoyloxy)propane-1,3-diyl di(Z)-Octadec-9-enate;2-(palmitoyloxy)propane-1,3-diyl dioleate;1(18:1,w-9)-2(16:0)-3(18:1,w-9);1(18:1 D9)-2(16:0)-3(18:1 D9);InChI=1S/C55H102O6/c1-4-7-10-13-16-19-22-25-27-30-32-35-38-41-44-47-53(56)59-50-52(61-55(58)49-46-43-40-37-34-29-24-21-18-15-12-9-6-3)51-60-54(57)48-45-42-39-36-33-31-28-26-23-20-17-14-11-8-5-2/h25-28,52H,4-24,29-51H2,1-3H3/b27-25-,28-26-;O=C(CCCCCCC/C=C\CCCCCCCC)OCC(COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCCCCCCCC;;21.9;0
OPS ;1-((Z)-Octadec-9-enoyloxy)-2-(hexadecanoyloxy)propan-3-yl octadecanate;1-(oleoyloxy)-2-(palmitoyloxy)propan-3-yl stearate;1(18:1,w-9)-2(16:0)-3(18:0);1(18:1 D9)-2(16:0)-3(18:0);InChI=1S/C55H104O6/c1-4-7-10-13-16-19-22-25-27-30-32-35-38-41-44-47-53(56)59-50-52(61-55(58)49-46-43-40-37-34-29-24-21-18-15-12-9-6-3)51-60-54(57)48-45-42-39-36-33-31-28-26-23-20-17-14-11-8-5-2/h25,27,52H,4-24,26,28-51H2,1-3H3/b27-25-;O=C(CCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCCCCCCCC;;40.2;0
OSO (0);2-(octadecanoyloxy)propane-1,3-diyl di(Z)-Octadec-9-enate;2-(stearoyloxy)propane-1,3-diyl dioleate;1(18:1,w-9)-2(18:0)-3(18:1,w-9);1(18:1 D9)-2(18:0)-3(18:1 D9);InChI=1S/C57H106O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-55(58)61-52-54(63-57(60)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)53-62-56(59)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h25-26,28-29,54H,4-24,27,30-53H2,1-3H3/b28-25-,29-26-;O=C(CCCCCCC/C=C\CCCCCCCC)OCC(COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC;133;25;0
OSO ;2-(octadecanoyloxy)propane-1,3-diyl di(Z)-Octadec-9-enate;2-(stearoyloxy)propane-1,3-diyl dioleate;1(18:1,w-9)-2(18:0)-3(18:1,w-9);1(18:1 D9)-2(18:0)-3(18:1 D9);InChI=1S/C57H106O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-55(58)61-52-54(63-57(60)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)53-62-56(59)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h25-26,28-29,54H,4-24,27,30-53H2,1-3H3/b28-25-,29-26-;O=C(CCCCCCC/C=C\CCCCCCCC)OCC(COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC;;23.9;0
PEE ;3-(hexadecanoyloxy)propane-1,2-diyl di(E)-octadec-9-enate;3-(palmitoyloxy)propane-1,2-diyl dielaidate;1(16:0)-2(18:1,w-t9)-3(18:1,w-t9);1(16:0)-2(18:1 Dt9)-3(18:1 Dt9);InChI=1S/C55H102O6/c1-4-7-10-13-16-19-22-25-27-30-33-36-39-42-45-48-54(57)60-51-52(50-59-53(56)47-44-41-38-35-32-29-24-21-18-15-12-9-6-3)61-55(58)49-46-43-40-37-34-31-28-26-23-20-17-14-11-8-5-2/h25-28,52H,4-24,29-51H2,1-3H3/b27-25+,28-26+;O=C(CCCCCCC/C=C/CCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C/CCCCCCCC;134;44.2;0
PEP ;2-((E)-octadec-9-enoyloxy)propane-1,3-diyl dihexadecanate;2-(elaidoyloxy)propane-1,3-diyl dipalmitate;1(16:0)-2(18:1,w-t9)-3(16:0);1(16:0)-2(18:1 Dt9)-3(16:0);InChI=1S/C53H100O6/c1-4-7-10-13-16-19-22-25-26-29-32-35-38-41-44-47-53(56)59-50(48-57-51(54)45-42-39-36-33-30-27-23-20-17-14-11-8-5-2)49-58-52(55)46-43-40-37-34-31-28-24-21-18-15-12-9-6-3/h25-26,50H,4-24,27-49H2,1-3H3/b26-25+;O=C(CCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C/CCCCCCCC;150;55.3;1
PEP ;2-((E)-octadec-9-enoyloxy)propane-1,3-diyl dihexadecanate;2-(elaidoyloxy)propane-1,3-diyl dipalmitate;1(16:0)-2(18:1,w-t9)-3(16:0);1(16:0)-2(18:1 Dt9)-3(16:0);InChI=1S/C53H100O6/c1-4-7-10-13-16-19-22-25-26-29-32-35-38-41-44-47-53(56)59-50(48-57-51(54)45-42-39-36-33-30-27-23-20-17-14-11-8-5-2)49-58-52(55)46-43-40-37-34-31-28-24-21-18-15-12-9-6-3/h25-26,50H,4-24,27-49H2,1-3H3/b26-25+;O=C(CCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C/CCCCCCCC;150;54;1
PEP ;2-((E)-octadec-9-enoyloxy)propane-1,3-diyl dihexadecanate;2-(elaidoyloxy)propane-1,3-diyl dipalmitate;1(16:0)-2(18:1,w-t9)-3(16:0);1(16:0)-2(18:1 Dt9)-3(16:0);InChI=1S/C53H100O6/c1-4-7-10-13-16-19-22-25-26-29-32-35-38-41-44-47-53(56)59-50(48-57-51(54)45-42-39-36-33-30-27-23-20-17-14-11-8-5-2)49-58-52(55)46-43-40-37-34-31-28-24-21-18-15-12-9-6-3/h25-26,50H,4-24,27-49H2,1-3H3/b26-25+;O=C(CCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C/CCCCCCCC;150;53.9;1
PlP ;2-((9Z,12Z)-Octadeca-9,12-dienoyloxy)propane-1,3-diyl dihexadecanate;2-(linoleoyloxy)propane-1,3-diyl dipalmitate;1(16:0)-2(18:2,w-6)-3(16:0);1(16:0)-2(18:2 D9,12)-3(16:0);InChI=1S/C53H98O6/c1-4-7-10-13-16-19-22-25-26-29-32-35-38-41-44-47-53(56)59-50(48-57-51(54)45-42-39-36-33-30-27-23-20-17-14-11-8-5-2)49-58-52(55)46-43-40-37-34-31-28-24-21-18-15-12-9-6-3/h16,19,25-26,50H,4-15,17-18,20-24,27-49H2,1-3H3/b19-16-,26-25-;O=C(CCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC;100;27.1;0
PlS ;1-(hexadecanoyloxy)-2-((9Z,12Z)-Octadeca-9,12-dienoyloxy)propan-3-yl octadecanate;1-(palmitoyloxy)-2-(linoleoyloxy)propan-3-yl stearate;1(16:0)-2(18:2,w-6)-3(18:0);1(16:0)-2(18:2 D9,12)-3(18:0);InChI=1S/C55H102O6/c1-4-7-10-13-16-19-22-25-27-30-33-36-39-42-45-48-54(57)60-51-52(50-59-53(56)47-44-41-38-35-32-29-24-21-18-15-12-9-6-3)61-55(58)49-46-43-40-37-34-31-28-26-23-20-17-14-11-8-5-2/h17,20,26,28,52H,4-16,18-19,21-25,27,29-51H2,1-3H3/b20-17-,28-26-;O=C(CCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC;;24.5;0
POP ;2-((Z)-Octadec-9-enoyloxy)propane-1,3-diyl dihexadecanate;2-(oleoyloxy)propane-1,3-diyl dipalmitate;1(16:0)-2(18:1,w-9)-3(16:0);1(16:0)-2(18:1 D9)-3(16:0);InChI=1S/C53H100O6/c1-4-7-10-13-16-19-22-25-26-29-32-35-38-41-44-47-53(56)59-50(48-57-51(54)45-42-39-36-33-30-27-23-20-17-14-11-8-5-2)49-58-52(55)46-43-40-37-34-31-28-24-21-18-15-12-9-6-3/h25-26,50H,4-24,27-49H2,1-3H3/b26-25-;O=C(CCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC;140;37.2;0
POP (j );2-((Z)-Octadec-9-enoyloxy)propane-1,3-diyl dihexadecanate;2-(oleoyloxy)propane-1,3-diyl dipalmitate;1(16:0)-2(18:1,w-9)-3(16:0);1(16:0)-2(18:1 D9)-3(16:0);InChI=1S/C53H100O6/c1-4-7-10-13-16-19-22-25-26-29-32-35-38-41-44-47-53(56)59-50(48-57-51(54)45-42-39-36-33-30-27-23-20-17-14-11-8-5-2)49-58-52(55)46-43-40-37-34-31-28-24-21-18-15-12-9-6-3/h25-26,50H,4-24,27-49H2,1-3H3/b26-25-;O=C(CCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC;;36;0
POP (r );2-((Z)-Octadec-9-enoyloxy)propane-1,3-diyl dihexadecanate;2-(oleoyloxy)propane-1,3-diyl dipalmitate;1(16:0)-2(18:1,w-9)-3(16:0);1(16:0)-2(18:1 D9)-3(16:0);InChI=1S/C53H100O6/c1-4-7-10-13-16-19-22-25-26-29-32-35-38-41-44-47-53(56)59-50(48-57-51(54)45-42-39-36-33-30-27-23-20-17-14-11-8-5-2)49-58-52(55)46-43-40-37-34-31-28-24-21-18-15-12-9-6-3/h25-26,50H,4-24,27-49H2,1-3H3/b26-25-;O=C(CCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC;;36.7;0
POS ;1-(hexadecanoyloxy)-2-((Z)-Octadec-9-enoyloxy)propan-3-yl octadecanate;1-(palmitoyloxy)-2-(oleoyloxy)propan-3-yl stearate;1(16:0)-2(18:1,w-9)-3(18:0);1(16:0)-2(18:1 D9)-3(18:0);InChI=1S/C55H104O6/c1-4-7-10-13-16-19-22-25-27-30-33-36-39-42-45-48-54(57)60-51-52(50-59-53(56)47-44-41-38-35-32-29-24-21-18-15-12-9-6-3)61-55(58)49-46-43-40-37-34-31-28-26-23-20-17-14-11-8-5-2/h26,28,52H,4-25,27,29-51H2,1-3H3/b28-26-;O=C(CCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC;150;31;0
POS ;1-(hexadecanoyloxy)-2-((Z)-Octadec-9-enoyloxy)propan-3-yl octadecanate;1-(palmitoyloxy)-2-(oleoyloxy)propan-3-yl stearate;1(16:0)-2(18:1,w-9)-3(18:0);1(16:0)-2(18:1 D9)-3(18:0);InChI=1S/C55H104O6/c1-4-7-10-13-16-19-22-25-27-30-33-36-39-42-45-48-54(57)60-51-52(50-59-53(56)47-44-41-38-35-32-29-24-21-18-15-12-9-6-3)61-55(58)49-46-43-40-37-34-31-28-26-23-20-17-14-11-8-5-2/h26,28,52H,4-25,27,29-51H2,1-3H3/b28-26-;O=C(CCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC;150;37.1;0
POS (k );1-(hexadecanoyloxy)-2-((Z)-Octadec-9-enoyloxy)propan-3-yl octadecanate;1-(palmitoyloxy)-2-(oleoyloxy)propan-3-yl stearate;1(16:0)-2(18:1,w-9)-3(18:0);1(16:0)-2(18:1 D9)-3(18:0);InChI=1S/C55H104O6/c1-4-7-10-13-16-19-22-25-27-30-33-36-39-42-45-48-54(57)60-51-52(50-59-53(56)47-44-41-38-35-32-29-24-21-18-15-12-9-6-3)61-55(58)49-46-43-40-37-34-31-28-26-23-20-17-14-11-8-5-2/h26,28,52H,4-25,27,29-51H2,1-3H3/b28-26-;O=C(CCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC;158.5;38.7;0
PPE ;3-((E)-octadec-9-enoyloxy)propane-1,2-diyl dihexadecanate;3-(elaidoyloxy)propane-1,2-diyl dipalmitate;1(16:0)-2(16:0)-3(18:1,w-t9);1(16:0)-2(16:0)-3(18:1 Dt9);InChI=1S/C53H100O6/c1-4-7-10-13-16-19-22-25-26-29-31-34-37-40-43-46-52(55)58-49-50(59-53(56)47-44-41-38-35-32-28-24-21-18-15-12-9-6-3)48-57-51(54)45-42-39-36-33-30-27-23-20-17-14-11-8-5-2/h25-26,50H,4-24,27-49H2,1-3H3/b26-25+;O=C(CCCCCCC/C=C/CCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC;157;50.2;1
PPl ;3-((9Z,12Z)-Octadeca-9,12-dienoyloxy)propane-1,2-diyl dihexadecanate;3-(linoleoyloxy)propane-1,2-diyl dipalmitate;1(16:0)-2(16:0)-3(18:2,w-6);1(16:0)-2(16:0)-3(18:2 D9,12);InChI=1S/C53H98O6/c1-4-7-10-13-16-19-22-25-26-29-31-34-37-40-43-46-52(55)58-49-50(59-53(56)47-44-41-38-35-32-28-24-21-18-15-12-9-6-3)48-57-51(54)45-42-39-36-33-30-27-23-20-17-14-11-8-5-2/h16,19,25-26,50H,4-15,17-18,20-24,27-49H2,1-3H3/b19-16-,26-25-;O=C(CCCCCCC/C=C\C/C=C\CCCCC)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC;;36;0
PPO ;3-((Z)-Octadec-9-enoyloxy)propane-1,2-diyl dihexadecanate;3-(oleoyloxy)propane-1,2-diyl dipalmitate;1(16:0)-2(16:0)-3(18:1,w-9);1(16:0)-2(16:0)-3(18:1 D9);InChI=1S/C53H100O6/c1-4-7-10-13-16-19-22-25-26-29-31-34-37-40-43-46-52(55)58-49-50(59-53(56)47-44-41-38-35-32-28-24-21-18-15-12-9-6-3)48-57-51(54)45-42-39-36-33-30-27-23-20-17-14-11-8-5-2/h25-26,50H,4-24,27-49H2,1-3H3/b26-25-;O=C(CCCCCCC/C=C\CCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC;;34.5;0
PSO ;1-(hexadecanoyloxy)-2-(octadecanoyloxy)propan-3-yl (Z)-Octadec-9-enate;1-(palmitoyloxy)-2-(stearoyloxy)propan-3-yl oleate;1(16:0)-2(18:0)-3(18:1,w-9);1(16:0)-2(18:0)-3(18:1 D9);InChI=1S/C55H104O6/c1-4-7-10-13-16-19-22-25-27-30-33-36-39-42-45-48-54(57)60-51-52(50-59-53(56)47-44-41-38-35-32-29-24-21-18-15-12-9-6-3)61-55(58)49-46-43-40-37-34-31-28-26-23-20-17-14-11-8-5-2/h25,27,52H,4-24,26,28-51H2,1-3H3/b27-25-;O=C(CCCCCCC/C=C\CCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC;;41;0
SEE ;3-(octadecanoyloxy)propane-1,2-diyl di(E)-octadec-9-enate;3-(stearoyloxy)propane-1,2-diyl dielaidate;1(18:0)-2(18:1,w-t9)-3(18:1,w-t9);1(18:0)-2(18:1 Dt9)-3(18:1 Dt9);InChI=1S/C57H106O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-55(58)61-52-54(63-57(60)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)53-62-56(59)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h25,27-28,30,54H,4-24,26,29,31-53H2,1-3H3/b28-25+,30-27+;O=C(CCCCCCC/C=C/CCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C/CCCCCCCC;159;51.8;1
SES (e );2-((E)-octadec-9-enoyloxy)propane-1,3-diyl dioctadecanate;2-(elaidoyloxy)propane-1,3-diyl distearate;1(18:0)-2(18:1,w-t9)-3(18:0);1(18:0)-2(18:1 Dt9)-3(18:0);InChI=1S/C57H108O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-55(58)61-52-54(63-57(60)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)53-62-56(59)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h27,30,54H,4-26,28-29,31-53H2,1-3H3/b30-27+;O=C(CCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C/CCCCCCCC;163.1;62.5;1
SES ;2-((E)-octadec-9-enoyloxy)propane-1,3-diyl dioctadecanate;2-(elaidoyloxy)propane-1,3-diyl distearate;1(18:0)-2(18:1,w-t9)-3(18:0);1(18:0)-2(18:1 Dt9)-3(18:0);InChI=1S/C57H108O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-55(58)61-52-54(63-57(60)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)53-62-56(59)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h27,30,54H,4-26,28-29,31-53H2,1-3H3/b30-27+;O=C(CCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C/CCCCCCCC;163;60.5;1
SES ;2-((E)-octadec-9-enoyloxy)propane-1,3-diyl dioctadecanate;2-(elaidoyloxy)propane-1,3-diyl distearate;1(18:0)-2(18:1,w-t9)-3(18:0);1(18:0)-2(18:1 Dt9)-3(18:0);InChI=1S/C57H108O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-55(58)61-52-54(63-57(60)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)53-62-56(59)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h27,30,54H,4-26,28-29,31-53H2,1-3H3/b30-27+;O=C(CCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C/CCCCCCCC;163;60.5;1
SleS ;2-((9Z,12Z,15Z)-Octadeca-9,12,15-trienoyloxy)propane-1,3-diyl dioctadecanate;2-(linolenoyloxy)propane-1,3-diyl distearate;1(18:0)-2(18:3,w-3)-3(18:0);1(18:0)-2(18:3 D9,12,15)-3(18:0);InChI=1S/C57H104O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-55(58)61-52-54(63-57(60)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)53-62-56(59)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h9,12,18,21,27,30,54H,4-8,10-11,13-17,19-20,22-26,28-29,31-53H2,1-3H3/b12-9-,21-18-,30-27-;O=C(CCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC;;35.8;0
SOA ;1-(octadecanoyloxy)-2-((Z)-Octadec-9-enoyloxy)propan-3-yl icosanate;1-(stearoyloxy)-2-(oleoyloxy)propan-3-yl arachidate;1(18:0)-2(18:1,w-9)-3(20:0);1(18:0)-2(18:1 D9)-3(20:0);InChI=1S/C59H112O6/c1-4-7-10-13-16-19-22-25-28-29-32-34-37-40-43-46-49-52-58(61)64-55-56(65-59(62)53-50-47-44-41-38-35-31-27-24-21-18-15-12-9-6-3)54-63-57(60)51-48-45-42-39-36-33-30-26-23-20-17-14-11-8-5-2/h27,31,56H,4-26,28-30,32-55H2,1-3H3/b31-27-;O=C(CCCCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC;158;41.5;0
SOP ;1-(octadecanoyloxy)-2-((Z)-Octadec-9-enoyloxy)propan-3-yl hexadecanate;1-(stearoyloxy)-2-(oleoyloxy)propan-3-yl palmitate;1(18:0)-2(18:1,w-9)-3(16:0);1(18:0)-2(18:1 D9)-3(16:0);InChI=1S/C55H104O6/c1-4-7-10-13-16-19-22-25-27-30-33-36-39-42-45-48-54(57)60-51-52(50-59-53(56)47-44-41-38-35-32-29-24-21-18-15-12-9-6-3)61-55(58)49-46-43-40-37-34-31-28-26-23-20-17-14-11-8-5-2/h26,28,52H,4-25,27,29-51H2,1-3H3/b28-26-;O=C(CCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC;;37.1;0
SOS ;2-((Z)-Octadec-9-enoyloxy)propane-1,3-diyl dioctadecanate;2-(oleoyloxy)propane-1,3-diyl distearate;1(18:0)-2(18:1,w-9)-3(18:0);1(18:0)-2(18:1 D9)-3(18:0);InChI=1S/C57H108O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-55(58)61-52-54(63-57(60)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)53-62-56(59)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h27,30,54H,4-26,28-29,31-53H2,1-3H3/b30-27-;O=C(CCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC;;44;0
SOS (d );2-((Z)-Octadec-9-enoyloxy)propane-1,3-diyl dioctadecanate;2-(oleoyloxy)propane-1,3-diyl distearate;1(18:0)-2(18:1,w-9)-3(18:0);1(18:0)-2(18:1 D9)-3(18:0);InChI=1S/C57H108O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-55(58)61-52-54(63-57(60)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)53-62-56(59)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h27,30,54H,4-26,28-29,31-53H2,1-3H3/b30-27-;O=C(CCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC;;43;0
SOS (m );2-((Z)-Octadec-9-enoyloxy)propane-1,3-diyl dioctadecanate;2-(oleoyloxy)propane-1,3-diyl distearate;1(18:0)-2(18:1,w-9)-3(18:0);1(18:0)-2(18:1 D9)-3(18:0);InChI=1S/C57H108O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-55(58)61-52-54(63-57(60)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)53-62-56(59)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h27,30,54H,4-26,28-29,31-53H2,1-3H3/b30-27-;O=C(CCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC;151;43;0
SPO ;1-(octadecanoyloxy)-2-(hexadecanoyloxy)propan-3-yl (Z)-Octadec-9-enate;1-(stearoyloxy)-2-(palmitoyloxy)propan-3-yl oleate;1(18:0)-2(16:0)-3(18:1,w-9);1(18:0)-2(16:0)-3(18:1 D9);InChI=1S/C55H104O6/c1-4-7-10-13-16-19-22-25-27-30-32-35-38-41-44-47-53(56)59-50-52(61-55(58)49-46-43-40-37-34-29-24-21-18-15-12-9-6-3)51-60-54(57)48-45-42-39-36-33-31-28-26-23-20-17-14-11-8-5-2/h25,27,52H,4-24,26,28-51H2,1-3H3/b27-25-;O=C(CCCCCCC/C=C\CCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC;126;40.2;0
SSl ;3-((9Z,12Z)-Octadeca-9,12-dienoyloxy)propane-1,2-diyl dioctadecanate;3-(linoleoyloxy)propane-1,2-diyl distearate;1(18:0)-2(18:0)-3(18:2,w-6);1(18:0)-2(18:0)-3(18:2 D9,12);InChI=1S/C57H106O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-55(58)61-52-54(63-57(60)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)53-62-56(59)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h16,19,25,28,54H,4-15,17-18,20-24,26-27,29-53H2,1-3H3/b19-16-,28-25-;O=C(CCCCCCC/C=C\C/C=C\CCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC;;35.8;0
