Name;iupac;iupac-common name;omega;delta;InChI;SMILES;[kJ /mol ];[C ];
AAA ;propane-1,2,3-triyl icosanate;propane-1,2,3-triyl arachidate;1(20:0)-2(20:0)-3(20:0);1(20:0)-2(20:0)-3(20:0);InChI=1S/C63H122O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-52-55-61(64)67-58-60(69-63(66)57-54-51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)59-68-62(65)56-53-50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h60H,4-59H2,1-3H3;O=C(CCCCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCC;214.2(a );77.8;1
AAA (i );propane-1,2,3-triyl icosanate;propane-1,2,3-triyl arachidate;1(20:0)-2(20:0)-3(20:0);1(20:0)-2(20:0)-3(20:0);InChI=1S/C63H122O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-52-55-61(64)67-58-60(69-63(66)57-54-51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)59-68-62(65)56-53-50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h60H,4-59H2,1-3H3;O=C(CCCCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCC;;78;1
21.21.21(a );propane-1,2,3-triyl henicosanate;propane-1,2,3-triyl heinecosylate;1(21:0)-2(21:0)-3(21:0);1(21:0)-2(21:0)-3(21:0);InChI=1S/C66H128O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-52-55-58-64(67)70-61-63(72-66(69)60-57-54-51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)62-71-65(68)59-56-53-50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h63H,4-62H2,1-3H3;O=C(CCCCCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCCC;180.9;76;1
21.21.21;propane-1,2,3-triyl henicosanate;propane-1,2,3-triyl heinecosylate;1(21:0)-2(21:0)-3(21:0);1(21:0)-2(21:0)-3(21:0);InChI=1S/C66H128O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-52-55-58-64(67)70-61-63(72-66(69)60-57-54-51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)62-71-65(68)59-56-53-50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h63H,4-62H2,1-3H3;O=C(CCCCCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCCC;;77;1
BSS (a ,b );3-(docosanoicoyloxy)propane-1,2-diyl dioctadecanate;3-(behenoyloxy)propane-1,2-diyl distearate;1(22:0)-2(18:0)-3(18:0);1(22:0)-2(18:0)-3(18:0);InChI=1S/C61H118O6/c1-4-7-10-13-16-19-22-25-28-29-30-31-34-36-39-42-45-48-51-54-60(63)66-57-58(67-61(64)55-52-49-46-43-40-37-33-27-24-21-18-15-12-9-6-3)56-65-59(62)53-50-47-44-41-38-35-32-26-23-20-17-14-11-8-5-2/h58H,4-57H2,1-3H3;O=C(CCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC;;68;1
BBB ;propane-1,2,3-triyl docosanoicate;propane-1,2,3-triyl behenate;1(22:0)-2(22:0)-3(22:0);1(22:0)-2(22:0)-3(22:0);InChI=1S/C69H134O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-52-55-58-61-67(70)73-64-66(75-69(72)63-60-57-54-51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)65-74-68(71)62-59-56-53-50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h66H,4-65H2,1-3H3;O=C(CCCCCCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCCCC;;81.7;1
BBB ;propane-1,2,3-triyl docosanoicate;propane-1,2,3-triyl behenate;1(22:0)-2(22:0)-3(22:0);1(22:0)-2(22:0)-3(22:0);InChI=1S/C69H134O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-52-55-58-61-67(70)73-64-66(75-69(72)63-60-57-54-51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)65-74-68(71)62-59-56-53-50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h66H,4-65H2,1-3H3;O=C(CCCCCCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCCCC;226.5(a );81.7;1
23.23.23(a );propane-1,2,3-triyl tricosanate;propane-1,2,3-triyl tricosylate;1(23:0)-2(23:0)-3(23:0);1(23:0)-2(23:0)-3(23:0);InChI=1S/C72H140O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-52-55-58-61-64-70(73)76-67-69(78-72(75)66-63-60-57-54-51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)68-77-71(74)65-62-59-56-53-50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h69H,4-68H2,1-3H3;O=C(CCCCCCCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCCCCC;191.3;80;1
24.24.24(a );propane-1,2,3-triyl tetracosanate;propane-1,2,3-triyl lignocerate;1(24:0)-2(24:0)-3(24:0);1(24:0)-2(24:0)-3(24:0);InChI=1S/C75H146O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-52-55-58-61-64-67-73(76)79-70-72(81-75(78)69-66-63-60-57-54-51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)71-80-74(77)68-65-62-59-56-53-50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h72H,4-71H2,1-3H3;O=C(CCCCCCCCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCCCCCC;226.5;86;1
24.24.24;propane-1,2,3-triyl tetracosanate;propane-1,2,3-triyl lignocerate;1(24:0)-2(24:0)-3(24:0);1(24:0)-2(24:0)-3(24:0);InChI=1S/C75H146O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-52-55-58-61-64-67-73(76)79-70-72(81-75(78)69-66-63-60-57-54-51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)71-80-74(77)68-65-62-59-56-53-50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h72H,4-71H2,1-3H3;O=C(CCCCCCCCCCCCCCCCCCCCCCC)OCC(COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCCCCCC;;86;1
