,Composition_Formula,Equilibrium_Pressure_25C,Heat_of_Formation_kJperMolH2,bin,3bin_limit,2bin_real,element,pred_elements,ln_pressure,regression_pred,regression_bin_pred,regression_bin_pred_median,binary_heat
51,Zr0.2Ti0.8Cr1.8,7.013375851791718,-23.0,1,1,1,"['Zr', 'Ti', 'Cr']",1,1.947819161700853,-26.943997193748288,1,1,1
52,Zr0.2Ti0.8Mn1Cr1,6.054539488098582,-30.0,1,1,1,"['Zr', 'Ti', 'Mn', 'Cr']",1,1.8008083192983042,-27.341939896250025,1,1,1
53,Zr0.2Ti0.8Mn0.8Cr1Fe0.2,14.549603472532237,-28.0,1,1,1,"['Zr', 'Ti', 'Mn', 'Cr', 'Fe']",1,2.677563740499213,-24.968656293191852,1,1,1
54,Zr0.2Ti0.8Mn1.2Cr0.8,6.0999925659975744,-28.9,1,1,1,"['Zr', 'Ti', 'Mn', 'Cr']",1,1.8082875524896007,-27.3216944080932,1,1,1
55,Zr0.2Ti0.8Mn1.2V0.2Cr0.6,2.713708031696302,-30.5,1,1,1,"['Zr', 'Ti', 'Mn', 'V', 'Cr']",1,0.9983159770318395,-29.51420124921897,1,1,1
56,Zr0.2Ti0.8Mn1.4V0.2Cr0.4,10.98754411950132,-29.0,1,1,1,"['Zr', 'Ti', 'Mn', 'V', 'Cr']",1,2.396762278429975,-25.72875596241417,1,1,1
57,Zr0.2Ti0.8Mn1.5Cr0.5,8.327888943668015,-27.5,1,1,1,"['Zr', 'Ti', 'Mn', 'Cr']",1,2.1196099959293253,-26.47897769096418,1,1,1
58,Zr0.2Ti0.8Mn1.5Cu0.5,2.5066921401854296,-27.0,1,1,1,"['Zr', 'Ti', 'Mn', 'Cu']",1,0.91896401155002,-29.728998573529196,1,1,1
59,Zr0.2Ti0.8Mn1.5Fe0.5,9.289575147207117,-25.4,1,1,1,"['Zr', 'Ti', 'Mn', 'Fe']",1,2.2288928195095017,-26.18316071963199,1,1,1
60,Zr0.2Ti0.8Mn1.5V0.5,0.3691496507046181,-45.6,2,2,2,"['Zr', 'Ti', 'Mn', 'V']",1,-0.9965531596927207,-34.91409966781149,1,1,0
61,Zr0.2Ti0.8Mn1.6V0.2Cr0.2,2.46700730154209,-30.5,1,1,1,"['Zr', 'Ti', 'Mn', 'V', 'Cr']",1,0.9030057972275135,-29.77219576110269,1,1,1
62,Zr0.2Ti0.8Mn1.7V0.2Mo0.1,1.7175130066404791,-35.0,1,1,1,"['Zr', 'Ti', 'Mn', 'V', 'Mo']",1,0.5408773180932492,-30.75243900904584,1,1,0
63,Zr0.2Ti0.8Mn1.8Mo0.2,4.883352942000587,-29.0,1,1,1,"['Zr', 'Ti', 'Mn', 'Mo']",1,1.5858320622136461,-27.923857742035345,1,1,1
64,Zr0.2Ti0.8Mn0.2V0.6Fe0.2Ni0.8Pd0.1,0.01,-46.5,2,2,2,"['Zr', 'Ti', 'Mn', 'V', 'Fe', 'Ni', 'Pd']",1,-4.605170185988091,-44.68224185562105,2,0,0
65,Zr0.05Ti0.95Mn0.8Cr1.2,6.394469394237009,-21.9,1,1,1,"['Zr', 'Ti', 'Mn', 'Cr']",1,1.8554334596161208,-27.19407545572743,1,1,1
66,Ti1V1.4Ni0.6,0.1180231535085358,-28.8,1,1,1,"['Ti', 'V', 'Ni']",1,-2.1368744575903156,-38.0008280450498,1,0,1
67,Ti1V1.6Ni0.4,0.0393086315930461,-33.2,1,1,1,"['Ti', 'V', 'Ni']",1,-3.2363111508119657,-40.97688614920098,2,0,1
68,Ti1V1.8Ni0.2,0.0062535522340121,-35.3,1,1,1,"['Ti', 'V', 'Ni']",1,-5.074605619245809,-45.95295360658923,2,0,0
69,TmFe2,8.45853395673871e-05,-56.8,2,2,2,"['Tm', 'Fe']",1,-9.377749597534383,-57.601106327769344,2,0,0
70,UAlNi,7.082643601003493e-07,-74.6,2,2,2,"['U', 'Al', 'Ni']",1,-14.160448422973134,-70.5473629762108,2,0,0
71,Zr1Cr0.5Fe1.5,1.5673757863719104,-25.6,1,1,1,"['Zr', 'Cr', 'Fe']",1,0.4494027472411181,-31.000050935759432,1,1,1
72,Zr1Mn0.48V0.48Ni1.44,0.2300512805339951,-39.9,1,1,1,"['Zr', 'Mn', 'V', 'Ni']",1,-1.4694530360671139,-36.194189297540056,1,0,0
73,Zr0.5Ti0.5Cr1Fe1,4.305323097844682,-27.0,1,1,1,"['Zr', 'Ti', 'Cr', 'Fe']",1,1.459852186827605,-28.26487185536638,1,1,1
74,Ho0.4Zr0.6Co2,0.8014902012593528,-29.3,1,1,1,"['Ho', 'Zr', 'Co']",1,-0.2212825325102524,-32.8155246000867,1,1,1
75,Zr0.76Ti0.24Mn0.63V0.14Fe0.18Ni1.16,4.103436558396678,-29.7,1,1,1,"['Zr', 'Ti', 'Mn', 'V', 'Fe', 'Ni']",1,1.4118248076042024,-28.394876858874238,1,1,1
76,Zr1Cr2Fe0.8,0.0184358432168636,-46.5,2,2,2,"['Zr', 'Cr', 'Fe']",1,-3.9934585083440455,-43.02640345502889,2,0,0
77,Zr1Cr2Ni0.8,0.0462816652571173,-37.9,1,1,1,"['Zr', 'Cr', 'Ni']",1,-3.0730093950845307,-40.5348456783389,2,0,0
