train_size,y_true,y_pred,accuracy,f1_macro,f1_micro,f1_weighted,kappa
20,"[0, 0, 0, 1, 1, 1, 1, 0, 0, 1]","[0, 0, 0, 1, 1, 1, 0, 0, 0, 1]",0.9,0.898989898989899,0.9,0.898989898989899,0.8
20,"[0, 0, 0, 1, 1, 1, 1, 0, 0, 1]","[0, 0, 0, 1, 1, 1, 1, 1, 0, 1]",0.9,0.898989898989899,0.9,0.898989898989899,0.8
20,"[1, 0, 1, 1, 0, 1, 0, 0, 1, 0]","[1, 0, 1, 1, 0, 1, 0, 0, 1, 0]",1.0,1.0,1.0,1.0,1.0
20,"[1, 1, 1, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 0, 0, 0, 1, 0, 1, 1]",0.9,0.898989898989899,0.9,0.898989898989899,0.8
20,"[1, 0, 1, 0, 1, 1, 0, 0, 1, 0]","[1, 0, 1, 0, 1, 1, 0, 0, 1, 0]",1.0,1.0,1.0,1.0,1.0
20,"[0, 1, 1, 1, 0, 0, 0, 1, 1, 0]","[0, 1, 1, 1, 0, 0, 0, 1, 1, 0]",1.0,1.0,1.0,1.0,1.0
25,"[0, 1, 0, 0, 1]","[0, 1, 0, 0, 1]",1.0,1.0,1.0,1.0,1.0
25,"[0, 0, 1, 0, 1]","[0, 0, 1, 0, 1]",1.0,1.0,1.0,1.0,1.0
25,"[0, 0, 1, 0, 1]","[0, 0, 1, 0, 1]",1.0,1.0,1.0,1.0,1.0
25,"[0, 0, 1, 1, 1]","[0, 0, 1, 1, 0]",0.8,0.8,0.8,0.8,0.6153846153846154
25,"[1, 1, 0, 1, 0]","[1, 1, 0, 0, 0]",0.8,0.8,0.8,0.8,0.6153846153846154
25,"[1, 0, 1, 0, 1]","[1, 1, 1, 0, 1]",0.8,0.7619047619047619,0.8,0.7809523809523808,0.5454545454545454
25,"[1, 0, 0, 0, 1]","[1, 0, 0, 0, 1]",1.0,1.0,1.0,1.0,1.0
25,"[0, 0, 0, 1, 1]","[0, 0, 0, 1, 0]",0.8,0.7619047619047619,0.8,0.7809523809523808,0.5454545454545454
25,"[0, 0, 1, 0, 1]","[0, 0, 1, 0, 1]",1.0,1.0,1.0,1.0,1.0
25,"[1, 0, 1, 0, 0]","[1, 0, 1, 0, 0]",1.0,1.0,1.0,1.0,1.0
