,SMILES,E_coh (MPa),T_g (K),R_gyr (A^2),Densities (kg/m^3),E_coh_bin,T_g_bin,R_gyr_bin,Densities_bin,smiles_lenght
347,C=CC(=O)N1CCc2c(N)cccc2C1,702.2767567414425,374.6101951116474,8.616029450457402e-20,1168.267051454665,1,1,0,1,25
348,C=CC(=O)N1CCCCC1,516.0869597007778,251.9119164347632,5.152719224890222e-20,1014.80064457176,0,0,0,0,16
349,C=CC(=O)Nc1ccc(C(=O)OCC)cc1,583.7923931217963,341.4757696189638,1.3411952359252425e-19,1142.0376388032223,1,1,1,1,27
350,CCCCCCCO,377.33814887784007,280.08814063801367,7.677911856124769e-20,807.8258475638507,0,0,0,0,8
351,C=CC(=O)N1CCC(OC)CC1,559.6530594139201,283.30266554160045,7.402244992320936e-20,1068.6463370539095,1,0,0,0,20
352,C=CC(=O)NCC1(C)CCCO1,490.4605672060928,262.3898646727122,7.080737933884449e-20,1051.7852952494643,0,0,0,0,20
353,C=CC(=O)N(c1ccccc1)C(C#N)c1ccccc1OCc1ccccc1,435.6273406734079,400.6669447849352,1.5609485070876075e-19,1125.2335822660507,0,1,1,0,43
354,C=CC(=O)Nc1ccccc1CO,665.0259119256589,300.90901918593835,7.156419740462652e-20,1175.0545470323818,1,0,0,1,19
355,C=CC(=O)NCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,339.6707278457059,300.4448938969623,2.1964802269767386e-19,1699.4958271926723,0,0,1,1,68
356,C=CC(=O)NC1CC(C)(C)NC(C)(C)C1,467.9783052677081,321.43096138940155,8.797547101876922e-20,1014.17804198632,0,1,0,0,29
357,C=CC(=O)NC(O)(C(=O)OCC)C(F)(F)F,595.0678749753185,347.33296395623546,7.043397298170379e-20,1389.9667066198008,1,1,0,1,31
358,C=CN1CC(C)OC1=O,608.9160109277897,264.44333742513004,4.260717459856305e-20,1106.3752918456416,1,0,0,0,15
359,C=C(C)C(=O)N1CCc2c(noc2-c2ccc(Cl)cc2)C1,48.35955668506004,362.38824700352905,1.79339638762627e-19,1241.6038663032457,0,1,1,1,39
360,C=CC(=O)NCc1cccnc1OC,642.8319054585066,350.9322194085166,8.877884940650968e-20,1147.8712334532854,1,1,0,1,20
361,C=CC(=O)N1C2CC3CCC2(CS1(=O)=O)C3(C)C,477.9647556797756,365.0666862821678,7.515813078352519e-20,1223.7134241232045,0,1,0,1,36
362,C=CC(=O)N1CCC(C(O)(c2ccccc2)c2ccccc2)CC1,461.29308116546855,396.2316976732361,1.419984014006259e-19,1113.70278820185,0,1,1,0,40
363,C=CC(=O)OCCN1C(=O)c2ccccc2C1=O,570.7796155780801,313.46049935046426,1.3117616588700888e-19,1226.7168606850264,1,0,1,1,30
364,C=CC(=O)N1CCC(C)(OC)C1,514.2006822911173,282.5674915499585,6.915931519140762e-20,1054.3992693260618,0,0,0,0,22
365,C=CC(=O)NCC(C(C)C)N1CCCC1,433.70362597490674,287.7580272760188,8.737826211414183e-20,987.8921466511758,0,0,0,0,25
366,C=C(C)C(=O)OCC[N+](C)(C)CCCS(=O)(=O)[O-],1170.506843601315,392.0244899685452,1.6046915276372774e-19,1206.0795935806057,1,1,1,1,40
367,C=CC(=O)N(CC)C(C)(C)C(=O)O,789.336246307809,318.39648488702784,5.769140289696747e-20,1098.1178379805244,1,0,0,0,26
368,C=C(C)C(=O)OCCCCCCCCCCOc1ccc(N=Nc2ccc(Cl)cc2)cc1,471.7218148954236,305.6554312042228,6.821982917203946e-19,1108.910636616191,0,0,1,0,48
369,C=CC(=O)NC(C)c1nnc2n1CCC2,699.4401709636177,363.06278041142633,8.129692442684513e-20,1172.067907686007,1,1,0,1,25
370,C=C(C)C(=O)Nc1ccc(Nc2nc(C)cc(C)n2)cc1,629.6567969772783,400.19678799832536,1.871061014971155e-19,1138.1545373772783,1,1,1,1,37
371,C=CC(=O)Nc1ccc2c(c1Oc1ccc(C(C)(C)C)cc1)C(=O)c1ccccc1C2=O,425.850001774042,296.27273743753165,1.9024036585245529e-19,1159.326592993317,0,0,1,1,56
372,C=CC(=O)N1CCC(OCCOCC)CC1,518.6628825583701,282.6420193841097,1.4169151263162893e-19,1061.5321785781623,0,0,1,0,24
373,C=C(C)C(=O)NC(c1ccc(C(C)(C)C)cc1)c1nccn1C,454.7419371977252,400.4968037564381,1.4158694489044806e-19,1055.243453529754,0,1,1,0,41
374,C=CC(=O)NC(CN)CN,982.5063843253932,372.27156634781466,4.870061897208783e-20,1144.9889041766407,1,1,0,1,16
375,C=CC(=O)N(CC1CC1)C(C)C,408.9739300298184,252.04597923224415,6.22556197197959e-20,958.949519780906,0,0,0,0,22
376,c1ccccc1,208.75844510596212,196.493712486228,2.307329951220957e-20,157.16611709658395,0,0,0,0,8
377,C=CC(=O)OCCCCOC(=O)c1cc(O)ccc1O,537.2743636530647,313.7152702453136,1.7821600533105758e-19,1199.5264990553826,0,0,1,1,31
378,C=CC(=O)OCc1ccc([N+](=O)[O-])cc1,659.553059882579,287.0824037884578,1.2142580967225158e-19,1246.4674073412675,1,0,1,1,32
379,C=CC(O)=NCCO,804.9265324554751,298.04595628536777,4.913378924432271e-20,940.3610317291776,1,0,0,0,12
380,C=C(C)C(=O)Nc1ccc(-c2nc3ccc(C)cc3[nH]2)cc1,631.1461636132537,363.0062913993106,2.1385434905276662e-19,1165.427402520527,1,1,1,1,42
381,C=CC(=O)NCCCOC1CCN(Cc2ccccc2)CC1,615.57697088355,335.4108044393548,2.2551241122697443e-19,1070.961663200542,1,1,1,0,32
382,C=CC(=O)NCCC1CC1,487.591151784015,235.45012944545732,6.857971505496087e-20,969.599947387086,0,0,0,0,16
383,C=C(C)C(=O)OCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,286.3122413482953,258.39968174678074,2.321302137426983e-19,1486.5142580445895,0,0,1,1,59
384,C=CC(=O)N(C=O)CCCN,715.5094465118416,302.44419662481334,6.805788422216207e-20,1134.7528439851546,1,0,0,1,18
385,C=CC(=O)Nc1c[nH]c(C)c1C(=O)OCC,611.8112976146351,372.2999106730727,9.343888873836085e-20,1152.365286608583,1,1,0,1,30
386,C=C(C)C(=O)NCC(OCC)OCC,483.0095740445141,283.26460998080944,8.820121620393333e-20,1013.0728290521024,0,0,0,0,22
387,C=C(C)C(=O)NCc1cccc(-c2nc(-c3ccccc3)cs2)c1,533.8162685350696,363.5842905069762,2.0800282347229748e-19,1174.5728462915922,0,1,1,1,42
388,C=C(C)C(=O)OCC(C)(C)C,337.25621867898883,224.98765848423312,6.76907044009158e-20,899.802393495556,0,0,0,0,21
389,C=CC(=O)Nc1ccc2c(c1)oc(=O)n2C(C)C,598.3093499688559,371.2103508716168,1.2210950906788077e-19,1202.131809873879,1,1,1,1,33
390,C=CC(=O)N(CC)CCC,449.861352203816,241.08813551536463,5.455069090319209e-20,922.5280902951984,0,0,0,0,16
391,C=C(C)C(=O)NCCCNC(=O)OC(C)(C)C,584.0978353119312,337.5731463020724,1.7568289188328185e-19,1064.436307294612,1,1,1,0,30
392,C=CC(=O)N1c2ccccc2Sc2ccc(NC(=O)OCC)cc21,582.3627720347464,378.83098826446735,1.5635232855187607e-19,1248.4231416993214,1,1,1,1,39
393,C=CC(=O)Nc1cccc2cccnc12,619.6495598909703,329.90369479543085,8.151873731441055e-20,1180.087136412648,1,1,0,1,23
394,C=CC(=O)OC1CCS(=O)(=O)C1,616.8824455133529,287.95800883743823,7.719131932348226e-20,1309.5761781893525,1,0,0,1,24
395,C=CC(=O)N(CCCN1CCOCC1)Cc1ccc2c(c1)CCCN2CCCC,427.1877601680966,377.365051880692,2.486430156593761e-19,1039.274012966937,0,1,1,0,43
396,C=C(C)C(=O)OCCCl,423.70960820142847,209.15415346088213,6.819416396802459e-20,1107.290031230057,0,0,0,0,16
397,C=CC(=O)N1C[C@@H]2C[C@H](C1)c1cccc(=O)n1C2,629.9696980888199,385.08713128535,8.666786678975217e-20,1196.3371273820946,1,1,0,1,42
398,C=CC(=O)N(C)CC1CC1C,490.3217125364904,252.94740943909093,6.705902503338214e-20,966.8462967747722,0,0,0,0,19
399,C=CC(=O)NC(C)c1ccc(N)cc1,688.8853864919679,353.26680861943873,8.955805214800678e-20,1129.294154956459,1,1,0,0,24
400,C=CC(=O)N1CC(=O)C1,751.6407389002468,273.566095649281,5.1503936124991216e-20,1155.0760442143076,1,0,0,1,18
401,C=CC(=O)OCC(O)CO,740.9483286816408,286.4025245201753,6.727585886862441e-20,1178.898868251805,1,0,0,1,16
402,C=CC(=O)N[C@@H](C)c1ccccc1C,537.5882510482388,329.62829974044325,8.007834644897152e-20,1049.0049792033024,0,1,0,0,27
403,C=CC(=O)NCC(CO)Cc1ccccc1OC(F)(F)F,430.1960547862148,317.1068623925725,1.1792270583600077e-19,1262.024295884568,0,0,1,1,33
404,C=CC(=O)Nc1ccc(Br)cc1C,578.1174924416615,308.5259760924804,1.0411097437243016e-19,1465.887897423833,1,0,1,1,22
405,C=CC(=O)OCCCC,372.5902567347881,214.86983447776385,6.940309664677846e-20,904.6881509379836,0,0,0,0,13
406,C=CC(=O)Nc1cccc(F)c1,644.2149357719112,296.05141653956684,7.569291469560952e-20,1058.276086714778,1,0,0,0,20
407,C=CC(=O)OCCCCOc1ccc(SC)cc1,538.7844422391687,291.3656255920985,2.204328568397405e-19,1124.6837690582531,0,0,1,0,26
408,C=CCN(C(=O)C=C)C(C)C,441.55940037381504,240.20447364965315,5.694572268747587e-20,795.778831530207,0,0,0,0,20
409,C=CC(=O)NCC(=O)N1CCOCC1,748.8029555769624,345.7454965190855,7.851963047583888e-20,1174.837843717673,1,1,0,1,23
