,SMILES,E_coh (MPa),T_g (K),R_gyr (A^2),Densities (kg/m^3),E_coh_bin,T_g_bin,R_gyr_bin,Densities_bin,smiles_lenght
55,C=CC(=O)NCCN(CCCC)Cc1cccs1,471.2310925112355,313.9059917293434,1.3039504059788098e-19,1073.7336401544048,0,0,1,0,26
56,C=CC(=O)NCCC1CCCC1,501.5437280166383,260.2736242388991,9.46596581661361e-20,982.556075872258,0,0,0,0,18
57,C=CC(=O)N(c1cccc(F)c1C)C1CCOC1C,392.3212212420696,332.9468883047191,8.95705069504763e-20,1132.1765239204517,0,1,0,0,31
58,C=C(C)C(=O)NC(=O)OC(C)COc1ccc(S(=O)(=O)c2ccc(OCC(C)O)cc2)cc1,500.0900280453688,366.8688977023032,3.15101398267374e-19,1231.0652222155743,0,1,1,1,60
59,C=C(C)C(=O)Nc1ccc(C(=O)OC)cc1,598.0812239299281,358.72367675912915,1.3158252834728058e-19,1155.253997469584,1,1,1,1,29
60,C=CC(=O)NC(CN(C)C)c1ccccc1,515.6286601729844,319.69371493108,9.166472086763493e-20,1055.0500722915351,0,1,0,0,26
61,C=CC(=O)OCCCOc1ccc(C(=O)O)cc1,609.8311472828674,333.97826237162803,1.970774143626489e-19,1186.8698972502536,1,1,1,1,29
62,C=CC(=O)N(C)CCCO,593.2090430854175,285.91842376502314,6.555963800658508e-20,921.6049962698612,1,0,0,0,16
63,C=CC(=O)OCCCCCC(C)C,345.2120545757433,223.6880175633069,1.4116884797262224e-19,888.2731268167424,0,0,1,0,19
64,C=CC(=O)N1CCCN(C(=O)CCNC(=O)OC(C)(C)C)CC1,503.6166495548643,370.43791601394014,1.999425472492177e-19,1103.3056374263133,0,1,1,0,41
65,C=COCCOCCOC(=O)C=C,534.9205272892954,261.2161437181335,1.1509863365476848e-19,1072.345790865836,0,0,1,0,18
66,C=CC(=O)N(C)C1CC(C)(C)C1,452.3873411802661,251.19370662558384,7.159227320816912e-20,974.1529794880356,0,0,0,0,24
67,C=C(C)C(=O)OCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,235.49082433928788,236.62898805285568,1.5982114911392434e-19,950.5110835403297,0,0,1,0,59
68,C#CCOC(=O)C=C,471.809901356238,231.35344012623688,5.302188410285655e-20,1018.9132476840032,0,0,0,0,13
69,C=C(C)C(=O)Nc1ccccc1C(F)(F)F,454.5630592209493,257.4851499870341,8.135104261964633e-20,1112.0543149598363,0,0,0,0,28
70,C=CC(=O)NC1(C)CS(=O)(=O)CC1S(=O)(=O)O,761.8192966416676,396.4013087345278,7.576374217380826e-20,1471.771311431873,1,1,0,1,37
71,C=CC(=O)OCCOc1ccccc1,557.8691446317513,287.84790148828245,1.125259040790491e-19,1117.3189254343033,1,0,1,0,20
72,C=C(C)C(=O)N1CCCC(C)C1,404.4373570772207,259.21047519571147,5.98308144990935e-20,974.0626001966572,0,0,0,0,22
73,C=CC(=O)Nc1ccc(NC(C)=O)c(OC)c1,649.2146160406105,386.5314190636343,1.1980193263944472e-19,1188.6208586877435,1,1,1,1,30
74,C=C(C)C(=O)N1CCN(c2cc(C)c3cccc(C)c3n2)CC1,517.3935265883657,372.59709729712586,1.5982426246115146e-19,1107.023490578141,0,1,1,0,41
75,C=C(C)C(=O)Nc1cccc(Nc2cc(-c3ccccc3)nc(C)n2)c1,542.4879070839778,380.69999048867794,1.8862127774416863e-19,1149.9232964995815,0,1,1,1,45
76,C=CC(=O)N1CCN(c2ccccc2Cl)CC1,661.9141956676278,367.0265906494304,1.117215755511543e-19,1206.828081969828,1,1,1,1,28
77,C=CC(=O)NCC1(c2cccc(Cl)c2)CCOCC1,498.6899921080943,361.5192776209133,1.175299696508454e-19,1185.4909211225645,0,1,1,1,32
78,C=CC(=O)N1CCCCC1CN,539.0362934546654,291.5949594648698,5.622746297339694e-20,1070.3102473386489,0,0,0,0,18
79,C=C(C)C(=O)Nc1cccc(NC(=O)CCNC(=O)OC(C)(C)C)c1,600.2044052210379,386.26666193757467,2.5024570157483832e-19,1133.9233387803636,1,1,1,1,45
80,C=CC(=O)Nc1c(F)cc(F)cc1F,565.8376688870997,296.3311941360576,7.708034359795789e-20,1364.4608450670053,1,0,0,1,24
81,C=C(C)C(=O)NC,705.1717179055439,266.23879034039044,3.62251934738428e-20,1006.1326458930932,1,0,0,0,13
82,C=CC(=O)NCOCCCC,626.8003398296371,256.9018799234345,9.607939916761558e-20,992.295369638855,1,0,0,0,15
83,C=CC(=O)N1CCn2cccc2C1CCC,541.0344425543681,339.7265313454735,8.164261989019177e-20,1068.9812905712492,0,1,0,0,24
84,C=CC(=O)NCCc1cccc(Br)c1,600.229359265179,302.58317998920467,1.3263790013502257e-19,1420.038855587644,1,0,1,1,23
85,C=C(C)C(=O)OCCOCCOCCOC,498.00329731591927,258.7533846796453,1.5009095602309781e-19,1064.118176578104,0,0,1,0,22
86,C=CC(=O)N[C@H](C(=O)OC(C)(C)C)C(C)C,372.44328076261365,292.6250080441465,8.966477245042273e-20,1003.7397990245304,0,0,0,0,35
87,C=C(C)C(=O)Nc1ccccc1NC(=O)c1cccc(OC(C)=O)c1,559.3308567032276,376.15801624807057,1.652682407702841e-19,1202.9166166176142,1,1,1,1,43
88,C=CC(=O)Nc1nc(C)c(Cl)cc1Cl,592.9703811585407,338.3066714266163,9.144685897580271e-20,1356.7420756921867,1,1,0,1,26
89,C=C(C)C(=O)OCCCS(=O)(=O)O,714.5099682360999,295.6609112805774,9.847144561480312e-20,1280.1973329554594,1,0,1,1,25
90,C=CC(=O)NC1CCC(N)C1,694.9349345328801,293.7319718622033,6.770541063187746e-20,1113.6744268519403,1,0,0,0,19
91,C=CC(=O)NC(C)(C)C(C)(C)O,467.0589100121375,286.085972004176,5.842436838745776e-20,1027.3824915232976,0,0,0,0,24
92,C=CC(=O)NCC1CC(C)N(C)C1,501.018819212732,294.9069325321872,9.205755271581264e-20,1014.8112487243104,0,0,0,0,23
93,C=CN1CCCC1=O,696.2046071471607,267.85223259663394,3.731096711735228e-20,1057.9472324823748,1,0,0,0,12
94,C=CC(=O)N1CCN(C)C(CC)C1,601.4156102437718,288.3514562683979,6.905054361769206e-20,1022.0808857033326,1,0,0,0,23
95,C=CC(=O)Nc1cc(OC)c(C(=O)O)cc1Cl,646.9724170868776,367.3730936563818,1.0519438378719017e-19,1336.8545854658792,1,1,1,1,31
96,C=CC(=O)Nc1ccc(C)c(Br)c1,633.4701204391401,327.46232004661107,9.236194032581659e-20,1466.6297498947113,1,1,0,1,24
97,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,274.444525779178,272.2397482615956,2.5942348521566444e-19,1724.6853431056395,0,0,1,1,81
98,C=CC(=O)NCc1conc1C,776.7337242630703,318.0532907444904,7.618627777396497e-20,1172.102515678837,1,0,0,1,18
99,C=CC(=O)NCCCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,359.8473964772739,346.5187195467338,1.6185914044188034e-19,1004.9967182832928,0,1,1,0,43
100,C=CC(=O)N(C)C,591.8881800365023,219.0881449859694,3.5484075142288777e-20,964.729381676102,1,0,0,0,13
101,C=CC(=O)NCCC,573.3067429341739,242.23761748350935,4.978635978451383e-20,955.7658208608776,1,0,0,0,12
102,C=CC(=O)NCc1ccc(C(=O)Nc2c3ccccc3n3c(C)nc4ccccc4c23)cc1,611.9892659314586,307.71300817386054,2.5384472473347095e-19,1214.9136048329913,1,0,1,1,54
103,C=CC(=O)OCC,424.0096885343529,223.25462500030108,4.216689271504826e-20,945.9161813884538,0,0,0,0,11
104,C=CC(=O)N1CCOC(C)C1,566.3693040987904,285.6210709623776,5.663859414566632e-20,1084.5633985695044,1,0,0,0,19
