,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Composition_Formula,Equilibrium_Pressure_25C,formula_eqPressure_25C,Heat_of_Formation_kJperMolH2,binary,bin,3bin_limit,LnEquilibrium_Pressure_25C,binary_Heat,binary_pressure,element
55,55,55,55,Zr0.2Ti0.8Mn1.2V0.2Cr0.6,2.713708031696302,Zr0.2Ti0.8Mn1.2V0.2Cr0.6 (Equilibrium Pressure at 25C: 2.713708031696302),-30.5,1.0,1,1,0.9983159770318395,1,1,"['Zr', 'Ti', 'Mn', 'V', 'Cr']"
56,56,56,56,Zr0.2Ti0.8Mn1.4V0.2Cr0.4,10.98754411950132,Zr0.2Ti0.8Mn1.4V0.2Cr0.4 (Equilibrium Pressure at 25C: 10.98754411950132),-29.0,1.0,1,1,2.396762278429975,1,1,"['Zr', 'Ti', 'Mn', 'V', 'Cr']"
57,57,57,57,Zr0.2Ti0.8Mn1.5Cr0.5,8.327888943668015,Zr0.2Ti0.8Mn1.5Cr0.5 (Equilibrium Pressure at 25C: 8.327888943668015),-27.5,1.0,1,1,2.1196099959293253,1,1,"['Zr', 'Ti', 'Mn', 'Cr']"
58,58,58,58,Zr0.2Ti0.8Mn1.5Cu0.5,2.5066921401854296,Zr0.2Ti0.8Mn1.5Cu0.5 (Equilibrium Pressure at 25C: 2.5066921401854296),-27.0,1.0,1,1,0.91896401155002,1,1,"['Zr', 'Ti', 'Mn', 'Cu']"
59,59,59,59,Zr0.2Ti0.8Mn1.5Fe0.5,9.289575147207117,Zr0.2Ti0.8Mn1.5Fe0.5 (Equilibrium Pressure at 25C: 9.289575147207117),-25.4,1.0,1,1,2.2288928195095017,1,1,"['Zr', 'Ti', 'Mn', 'Fe']"
60,60,60,60,Zr0.2Ti0.8Mn1.5V0.5,0.3691496507046181,Zr0.2Ti0.8Mn1.5V0.5 (Equilibrium Pressure at 25C: 0.3691496507046181),-45.6,0.0,2,2,-0.9965531596927207,0,0,"['Zr', 'Ti', 'Mn', 'V']"
61,61,61,61,Zr0.2Ti0.8Mn1.6V0.2Cr0.2,2.46700730154209,Zr0.2Ti0.8Mn1.6V0.2Cr0.2 (Equilibrium Pressure at 25C: 2.46700730154209),-30.5,1.0,1,1,0.9030057972275135,1,1,"['Zr', 'Ti', 'Mn', 'V', 'Cr']"
62,62,62,62,Zr0.2Ti0.8Mn1.7V0.2Mo0.1,1.7175130066404791,Zr0.2Ti0.8Mn1.7V0.2Mo0.1 (Equilibrium Pressure at 25C: 1.7175130066404791),-35.0,1.0,1,1,0.5408773180932492,0,1,"['Zr', 'Ti', 'Mn', 'V', 'Mo']"
63,63,63,63,Zr0.2Ti0.8Mn1.8Mo0.2,4.883352942000587,Zr0.2Ti0.8Mn1.8Mo0.2 (Equilibrium Pressure at 25C: 4.883352942000587),-29.0,1.0,1,1,1.5858320622136461,1,1,"['Zr', 'Ti', 'Mn', 'Mo']"
64,64,64,64,Zr0.2Ti0.8Mn0.2V0.6Fe0.2Ni0.8Pd0.1,0.01,Zr0.2Ti0.8Mn0.2V0.6Fe0.2Ni0.8Pd0.1 (Equilibrium Pressure at 25C: 0.01),-46.5,0.0,2,2,-4.605170185988091,0,0,"['Zr', 'Ti', 'Mn', 'V', 'Fe', 'Ni', 'Pd']"
65,65,65,65,Zr0.05Ti0.95Mn0.8Cr1.2,6.394469394237009,Zr0.05Ti0.95Mn0.8Cr1.2 (Equilibrium Pressure at 25C: 6.394469394237009),-21.9,1.0,1,1,1.8554334596161208,1,1,"['Zr', 'Ti', 'Mn', 'Cr']"
66,66,66,66,Ti1V1.4Ni0.6,0.1180231535085358,Ti1V1.4Ni0.6 (Equilibrium Pressure at 25C: 0.1180231535085358),-28.8,0.0,1,1,-2.1368744575903156,1,0,"['Ti', 'V', 'Ni']"
67,67,67,67,Ti1V1.6Ni0.4,0.0393086315930461,Ti1V1.6Ni0.4 (Equilibrium Pressure at 25C: 0.0393086315930461),-33.2,0.0,1,1,-3.2363111508119657,1,0,"['Ti', 'V', 'Ni']"
68,68,68,68,Ti1V1.8Ni0.2,0.0062535522340121,Ti1V1.8Ni0.2 (Equilibrium Pressure at 25C: 0.0062535522340121),-35.3,0.0,1,1,-5.074605619245809,0,0,"['Ti', 'V', 'Ni']"
69,69,69,69,TmFe2,8.45853395673871e-05,TmFe2 (Equilibrium Pressure at 25C: 8.45853395673871e-05),-56.8,0.0,2,2,-9.377749597534383,0,0,"['Tm', 'Fe']"
70,70,70,70,UAlNi,7.082643601003493e-07,UAlNi (Equilibrium Pressure at 25C: 7.082643601003493e-07),-74.6,0.0,2,2,-14.160448422973134,0,0,"['U', 'Al', 'Ni']"
71,71,71,71,Zr1Cr0.5Fe1.5,1.5673757863719104,Zr1Cr0.5Fe1.5 (Equilibrium Pressure at 25C: 1.5673757863719104),-25.6,1.0,1,1,0.4494027472411181,1,1,"['Zr', 'Cr', 'Fe']"
72,72,72,72,Zr1Mn0.48V0.48Ni1.44,0.2300512805339951,Zr1Mn0.48V0.48Ni1.44 (Equilibrium Pressure at 25C: 0.2300512805339951),-39.9,0.0,1,1,-1.4694530360671139,0,0,"['Zr', 'Mn', 'V', 'Ni']"
73,73,73,73,Zr0.5Ti0.5Cr1Fe1,4.305323097844682,Zr0.5Ti0.5Cr1Fe1 (Equilibrium Pressure at 25C: 4.305323097844682),-27.0,1.0,1,1,1.459852186827605,1,1,"['Zr', 'Ti', 'Cr', 'Fe']"
74,74,74,74,Ho0.4Zr0.6Co2,0.8014902012593528,Ho0.4Zr0.6Co2 (Equilibrium Pressure at 25C: 0.8014902012593528),-29.3,1.0,1,1,-0.2212825325102524,1,1,"['Ho', 'Zr', 'Co']"
75,75,75,75,Zr0.76Ti0.24Mn0.63V0.14Fe0.18Ni1.16,4.103436558396678,Zr0.76Ti0.24Mn0.63V0.14Fe0.18Ni1.16 (Equilibrium Pressure at 25C: 4.103436558396678),-29.7,1.0,1,1,1.4118248076042024,1,1,"['Zr', 'Ti', 'Mn', 'V', 'Fe', 'Ni']"
76,76,76,76,Zr1Cr2Fe0.8,0.0184358432168636,Zr1Cr2Fe0.8 (Equilibrium Pressure at 25C: 0.0184358432168636),-46.5,0.0,2,2,-3.9934585083440455,0,0,"['Zr', 'Cr', 'Fe']"
77,77,77,77,Zr1Cr2Ni0.8,0.0462816652571173,Zr1Cr2Ni0.8 (Equilibrium Pressure at 25C: 0.0462816652571173),-37.9,0.0,1,1,-3.0730093950845307,0,0,"['Zr', 'Cr', 'Ni']"
78,78,78,78,Zr1Cr1Fe1.2,0.2545178258069306,Zr1Cr1Fe1.2 (Equilibrium Pressure at 25C: 0.2545178258069306),-34.0,0.0,1,1,-1.3683844029810368,1,0,"['Zr', 'Cr', 'Fe']"
79,79,79,79,Zr1Cr1Fe1.6,2.0599254873958057,Zr1Cr1Fe1.6 (Equilibrium Pressure at 25C: 2.0599254873958057),-29.1,1.0,1,1,0.7226698109802127,1,1,"['Zr', 'Cr', 'Fe']"
80,80,80,80,Zr1Cr1Fe1.8,6.318756191293226,Zr1Cr1Fe1.8 (Equilibrium Pressure at 25C: 6.318756191293226),-19.0,1.0,0,0,1.843522383614964,1,1,"['Zr', 'Cr', 'Fe']"
81,81,81,81,Zr1Cr1Fe1Co0.8,20.926699927688897,Zr1Cr1Fe1Co0.8 (Equilibrium Pressure at 25C: 20.926699927688897),-20.0,1.0,0,0,3.0410258521529516,1,1,"['Zr', 'Cr', 'Fe', 'Co']"
82,82,82,82,Zr1Cr1Fe1Cu0.8,3.237801267487753,Zr1Cr1Fe1Cu0.8 (Equilibrium Pressure at 25C: 3.237801267487753),-28.0,1.0,1,1,1.1748944782909256,1,1,"['Zr', 'Cr', 'Fe', 'Cu']"
83,83,83,83,Zr1Mn0.8Cr1Fe1,0.6546556030591566,Zr1Mn0.8Cr1Fe1 (Equilibrium Pressure at 25C: 0.6546556030591566),-32.0,1.0,1,1,-0.4236459784827751,1,1,"['Zr', 'Mn', 'Cr', 'Fe']"
84,84,84,84,Zr1Cr1Fe1Ni0.8,17.371038036919114,Zr1Cr1Fe1Ni0.8 (Equilibrium Pressure at 25C: 17.371038036919114),-21.0,1.0,1,1,2.8548043387966886,1,1,"['Zr', 'Cr', 'Fe', 'Ni']"
85,85,85,85,Zr1Cr1Fe1.4,1.0588798903699246,Zr1Cr1Fe1.4 (Equilibrium Pressure at 25C: 1.0588798903699246),-21.0,1.0,1,1,0.05721164221711107,1,1,"['Zr', 'Cr', 'Fe']"
86,86,86,86,Zr1Cr0.6Fe1.4,3.685265379173311,Zr1Cr0.6Fe1.4 (Equilibrium Pressure at 25C: 3.685265379173311),-29.9,1.0,1,1,1.3043425391061545,1,1,"['Zr', 'Cr', 'Fe']"
87,87,87,87,Zr1Cr1Fe1.5,1.5969977784509388,Zr1Cr1Fe1.5 (Equilibrium Pressure at 25C: 1.5969977784509388),-23.0,1.0,1,1,0.4681254781554763,1,1,"['Zr', 'Cr', 'Fe']"
88,88,88,88,Zr1V0.5Fe1.5,0.0915169782434661,Zr1V0.5Fe1.5 (Equilibrium Pressure at 25C: 0.0915169782434661),-32.2,0.0,1,1,-2.3912307693403823,1,0,"['Zr', 'V', 'Fe']"
89,89,89,89,Zr1Al0.4Fe1.6,10.500875281684012,Zr1Al0.4Fe1.6 (Equilibrium Pressure at 25C: 10.500875281684012),-36.0,1.0,1,1,2.3514586138495948,0,1,"['Zr', 'Al', 'Fe']"
90,90,90,90,ZrCrFe,0.0214009528751074,ZrCrFe (Equilibrium Pressure at 25C: 0.0214009528751074),-49.4,0.0,2,2,-3.8443198310714455,0,0,"['Zr', 'Cr', 'Fe']"
91,91,91,91,ZrMnFe,0.2486653192057567,ZrMnFe (Equilibrium Pressure at 25C: 0.2486653192057567),-31.0,0.0,1,1,-1.3916473862047731,1,0,"['Zr', 'Mn', 'Fe']"
92,92,92,92,ZrFeMo,0.492084862510974,ZrFeMo (Equilibrium Pressure at 25C: 0.492084862510974),-29.8,1.0,1,1,-0.7091040925852156,1,1,"['Zr', 'Fe', 'Mo']"
93,93,93,93,ZrVFe,0.0002674450339042,ZrVFe (Equilibrium Pressure at 25C: 0.0002674450339042),-48.1,0.0,2,2,-8.226596493474233,0,0,"['Zr', 'V', 'Fe']"
94,94,94,94,Zr1Mn1.11Fe1.22,1.6446542301702736,Zr1Mn1.11Fe1.22 (Equilibrium Pressure at 25C: 1.6446542301702736),-29.4,1.0,1,1,0.4975301676980253,1,1,"['Zr', 'Mn', 'Fe']"
95,95,95,95,Zr1Mn1.22Fe1.11,1.0360513734668595,Zr1Mn1.22Fe1.11 (Equilibrium Pressure at 25C: 1.0360513734668595),-13.0,1.0,0,0,0.035416730896307196,1,1,"['Zr', 'Mn', 'Fe']"
96,96,96,96,Zr1Mn1.22Fe1.14,1.0986902644747123,Zr1Mn1.22Fe1.14 (Equilibrium Pressure at 25C: 1.0986902644747123),-31.0,1.0,1,1,0.0941188017358742,1,1,"['Zr', 'Mn', 'Fe']"
97,97,97,97,Zr1Mn1.2Fe0.4,0.1428165264580558,Zr1Mn1.2Fe0.4 (Equilibrium Pressure at 25C: 0.1428165264580558),-33.0,0.0,1,1,-1.9461945042740363,1,0,"['Zr', 'Mn', 'Fe']"
98,98,98,98,Zr1Mn1.53Fe1.27,4.099289378437095,Zr1Mn1.53Fe1.27 (Equilibrium Pressure at 25C: 4.099289378437095),-9.0,1.0,0,0,1.410813636355795,1,1,"['Zr', 'Mn', 'Fe']"
99,99,99,99,Zr1Mn1.8,0.0297923909389378,Zr1Mn1.8 (Equilibrium Pressure at 25C: 0.0297923909389378),-38.8,0.0,1,1,-3.5135022556945152,0,0,"['Zr', 'Mn']"
100,100,100,100,ZrMn2,0.0031122963116446,ZrMn2 (Equilibrium Pressure at 25C: 0.0031122963116446),-37.4,0.0,1,1,-5.77239446137463,0,0,"['Zr', 'Mn']"
101,101,101,101,Zr1Mn2.5,0.0257851997667297,Zr1Mn2.5 (Equilibrium Pressure at 25C: 0.0257851997667297),-32.0,0.0,1,1,-3.657954604108423,1,0,"['Zr', 'Mn']"
102,102,102,102,Zr1Mn2.6Fe0.2,0.0355614117897666,Zr1Mn2.6Fe0.2 (Equilibrium Pressure at 25C: 0.0355614117897666),-15.0,0.0,0,0,-3.3364941675000392,1,0,"['Zr', 'Mn', 'Fe']"
103,103,103,103,Zr1Mn2.7,0.1967651633671726,Zr1Mn2.7 (Equilibrium Pressure at 25C: 0.1967651633671726),-33.6,0.0,1,1,-1.6257443254437693,1,0,"['Zr', 'Mn']"
104,104,104,104,Zr1Mn2.8,0.3254604522221802,Zr1Mn2.8 (Equilibrium Pressure at 25C: 0.3254604522221802),-29.9,0.0,1,1,-1.1225143232644295,1,0,"['Zr', 'Mn']"
105,105,105,105,Zr1Mn2.8Fe0.4,0.0185896462924656,Zr1Mn2.8Fe0.4 (Equilibrium Pressure at 25C: 0.0185896462924656),-23.0,0.0,1,1,-3.9851505041933457,1,0,"['Zr', 'Mn', 'Fe']"
106,106,106,106,Zr1Mn2Co0.8,4.23436580898342,Zr1Mn2Co0.8 (Equilibrium Pressure at 25C: 4.23436580898342),-20.9,1.0,1,1,1.443233566945492,1,1,"['Zr', 'Mn', 'Co']"
107,107,107,107,Zr1Mn2Cu0.8,0.0653942583593902,Zr1Mn2Cu0.8 (Equilibrium Pressure at 25C: 0.0653942583593902),-31.6,0.0,1,1,-2.7273208170428607,1,0,"['Zr', 'Mn', 'Cu']"
108,108,108,108,Zr1Mn2Fe0.8,0.5352410447161273,Zr1Mn2Fe0.8 (Equilibrium Pressure at 25C: 0.5352410447161273),-25.0,1.0,1,1,-0.6250380826824319,1,1,"['Zr', 'Mn', 'Fe']"
109,109,109,109,Zr1Mn2Fe1.2,3.0000000000000004,Zr1Mn2Fe1.2 (Equilibrium Pressure at 25C: 3.0000000000000004),-6.8,1.0,0,0,1.0986122886681098,1,1,"['Zr', 'Mn', 'Fe']"
110,110,110,110,Zr1Mn2Ni0.8,1.7127713430916074,Zr1Mn2Ni0.8 (Equilibrium Pressure at 25C: 1.7127713430916074),-25.0,1.0,1,1,0.538112727123249,1,1,"['Zr', 'Mn', 'Ni']"
111,111,111,111,ZrMn3,0.2411986487568453,ZrMn3 (Equilibrium Pressure at 25C: 0.2411986487568453),-29.2,0.0,1,1,-1.4221344163137652,1,0,"['Zr', 'Mn']"
