,SMILES,Free energy of activation (kcal/mol),E_bin
164,c1(O)ccccc1c2nnc(c1cncnc1)nn2,13.605022629036268,0
165,c1ccncc1c2nnc(C)nn2,15.727885576027017,1
166,c1cc([O-])ccc1c2nnc(c1cocc1)nn2,19.642914226916037,1
167,CC(=O)c2nnc(c1c(O)cccc1)nn2,12.204422541005464,0
168,FC(F)c2nnc(c1ncncc1)nn2,10.049556635024176,0
169,c1sccc1c2nnc(NC)nn2,21.056064495057825,1
170,FC(F)c2nnc(I)nn2,12.724627502047523,0
171,c1cc(C(F)(F)F)ccc1c2nnc(c1cncnc1)nn2,13.329546178018385,0
172,c1cc(C(=O)[O-])ccc1c2nnc(c1ccc(C(=O)O)cc1)nn2,14.135895242908711,0
173,c1cncnc1c2nnc(c1cnccc1)nn2,12.168654527953093,0
174,c1cc(N(=O)=O)ccc1c2nnc(C(OC)=C)nn2,12.276586075965948,0
175,s1cccc1c2nnc(CF)nn2,14.194881088973808,0
176,c1ccccc1C#Cc2nnc(c1cnccc1)nn2,14.211196322932617,0
177,s1cccc1c2nnc(c1sccc1)nn2,16.097488377092613,1
178,CC(C)(C)c2nnc(C(C)(C)C)nn2,24.636630849006544,1
179,c1cc(NC(=O)C)ccc1c2nnc(c1occc1)nn2,15.40911100397577,1
180,c1cc(C(=O)N)ccc1c2nnc(c1sccc1)nn2,15.069628634976809,1
181,c1ccccc1/C=C/c2nnc(F)nn2,14.619704682042665,1
182,c1cccnc1c2nnc(c1ccccc1)nn2,13.247970008010324,0
183,CN(C)c2nnc(C)nn2,22.60412919803734,1
184,c1c(O)cccc1c2nnc(CC)nn2,15.7881264400176,1
185,c1cc(N(=O)=O)ccc1c2nnc(c1ccncc1)nn2,12.996338899003575,0
186,c1cc(C(=O)O)ccc1c2nnc(c1cocc1)nn2,14.869453264054163,1
187,c1(O)ccccc1c2nnc(c1ncccc1)nn2,13.330801196015214,0
188,n1cccnc1c2nnc(I)nn2,13.362176645935998,0
189,c1cc(C(=O)OC)ccc1c2nnc(CF)nn2,12.98567124595917,0
190,c1cc(OC)ccc1c2nnc(Cl)nn2,14.7332838111126,1
191,c1cc(C(=O)[O-])ccc1c2nnc(NC)nn2,21.08681243605153,1
192,CSc2nnc(C(F)(F)F)nn2,13.71797424896511,0
193,c1cc(N(=O)=O)ccc1c2nnc(C(=O)OC)nn2,10.293657635907255,0
194,COC(=C)c2nnc(C(F)F)nn2,10.437357197043829,0
195,c1cc(C(=O)[O-])ccc1c2nnc(SC)nn2,16.99859130095773,1
196,COC(=C)c2nnc(c1cc(O)ccc1)nn2,13.14694105905138,0
197,c1cc(C(=O)OC)ccc1c2nnc(c1cocc1)nn2,14.98930748296558,1
198,c1cc(C(=O)O)ccc1c2nnc(c1ccc(N(=O)=O)cc1)nn2,13.179571527040334,0
199,c1cc(C(=O)N)ccc1c2nnc(N(C)C)nn2,21.38676173800763,1
200,c1cccnc1c2nncnn2,12.827538978001716,0
201,c1cc(O)ccc1c2nnc(F)nn2,13.842848540077869,0
202,c1cc(N(=O)=O)ccc1c2nnc(CC)nn2,14.743951464014328,1
203,CC(=C)c2nnc(CF)nn2,13.637653097025222,0
204,c1cccnc1c2nnc(C)nn2,14.816114998974813,1
205,CC(C)(C)c2nnc(N(C)C)nn2,26.790241736991003,1
206,c1occc1c2nnc(Br)nn2,14.651080131820768,1
207,c1cncnc1c2nnc(CC)nn2,13.438105235029656,0
208,CSc2nnc(c1ccc(O)cc1)nn2,17.103385304049848,1
209,c1cncnc1c2nncnn2,12.01052226006698,0
210,c1cc(C(=O)O)ccc1c2nnc(CF)nn2,13.08544517699262,0
211,s1cccc1c2nnc(c1cncnc1)nn2,14.578916596931624,1
212,c1cc(C(=O)O)ccc1c2nnc(N(=O)=O)nn2,7.87963051308091,0
213,c1cc(C(=O)[O-])ccc1c2nnc(/C=C/c1ccccc1)nn2,16.39430013398529,1
214,NC(=O)c2nnc(C(F)(F)F)nn2,8.365322479067427,0
215,c1cc(OC)ccc1c2nnc(N)nn2,22.236408924002664,1
216,CC(=O)Nc2nnc(C#Cc1ccccc1)nn2,14.312852781032657,0
217,c1cc(C(=O)O)ccc1c2nnc(c1occc1)nn2,14.536873494037772,1
218,c1cnccc1c2nnc(Br)nn2,13.253617588853386,0
219,o1cccc1c2nnc(c1cncnc1)nn2,14.159113075921434,0
220,c1ccccc1C#Cc2nnc(CF)nn2,13.55356689109484,0
221,C=Cc2nnc(c1ncncc1)nn2,13.389159533010552,0
222,c1(NC)ccccc1c2nnc(c1c(NC)cccc1)nn2,16.20228237997071,1
223,Nc2nnc(c1ncncc1)nn2,20.072757891972213,1
224,COC(=C)c2nnc(CC)nn2,14.487300283020254,1
225,c1cc(OC)ccc1c2nnc(F)nn2,14.1578580579246,0
226,c1cc(C(=O)[O-])ccc1c2nnc(c1occc1)nn2,15.031978095000524,1
227,s1cccc1c2nnc(c1ncccc1)nn2,14.039886365937091,0
228,C=Cc2nnc(I)nn2,15.630621680987224,1
229,O=N(=O)c2nnc(c1sccc1)nn2,9.44714799504698,0
230,C=Cc2nnc(N(C)C)nn2,22.749083776992396,1
231,c1cc(C(=O)OC)ccc1c2nnc(c1c(O)cccc1)nn2,14.026081167971949,0
232,c1cnccc1c2nnc(c1ccncc1)nn2,12.818753852023898,0
233,c1cc(OC)ccc1c2nnc(c1ncccn1)nn2,14.051809036978332,0
234,c1(NC)ccccc1c2nnc(c1ncccn1)nn2,13.79202031099218,0
235,CN(C)c2nnc(c1cnccc1)nn2,21.41625466100451,1
236,c1cc(N(=O)=O)ccc1c2nnc(SC)nn2,15.877232718006647,1
237,c1sccc1c2nnc(F)nn2,13.389159533010552,0
238,FCc2nnc(c1c(O)cccc1)nn2,13.291268129043685,0
239,c1ccccc1C#Cc2nnc(I)nn2,15.011897806979883,1
240,COc2nnc(c1ncncn1)nn2,14.406351622010613,1
241,c1cc(OC)ccc1c2nnc(C(OC)=C)nn2,13.923169692017757,0
242,o1cccc1c2nnc(OC)nn2,16.696759472006388,1
243,FC(F)(F)c2nnc(c1ncccn1)nn2,9.709446756955456,0
244,c1occc1c2nnc(SC)nn2,17.080794980035545,1
245,CC(=O)Nc2nnc(c1cocc1)nn2,14.657355222018944,1
246,FC(F)c2nnc(C)nn2,13.819630707065148,0
247,c1ccccc1/C=C/c2nnc(c1ncncn1)nn2,13.719856775960356,0
248,COC(=C)c2nnc(C(=O)OC)nn2,9.753372386915895,0
249,o1cccc1c2nnc(c1ncncn1)nn2,12.845736739027112,0
250,c1cc(NC(=O)C)ccc1c2nnc(SC)nn2,17.20190421701513,1
251,c1cc(C(=O)O)ccc1c2nnc(Cl)nn2,13.112428063995836,0
252,CC(=O)c2nnc(c1ncccc1)nn2,10.596116973999694,0
253,c1cc(C(F)(F)F)ccc1c2nnc(c1ncncn1)nn2,11.709945449041127,0
254,c1(O)ccccc1c2nnc(F)nn2,12.838206630974785,0
255,FCc2nnc(c1ncccc1)nn2,12.402715385004202,0
256,CC(=O)c2nnc(c1occc1)nn2,12.528844694042451,0
257,Nc2nnc(c1ncncn1)nn2,19.52996260705853,1
258,c1(NC)ccccc1c2nnc(c1c(O)cccc1)nn2,15.252861263013566,1
